,number_of_labels,label_coordinates,mean_label_width,mean_label_height,label_spread,areas,handwritten_flag
B100000390.jpg,0,[],0.0,0.0,0.0,0.0,0.0
B100001491.jpg,1,"[(1, 1452, 410, 1699)]",409.0,247.0,0.0,101023.0,0.0
B100001493.jpg,2,"[(0, 1442, 417, 1699), (557, 1288, 734, 1394)]",297.0,181.5,389.1922725337696,125931.0,0.0
B100001916.jpg,1,"[(0, 1324, 458, 1677)]",458.0,353.0,0.0,161674.0,0.0
B100002521.jpg,2,"[(10, 1512, 457, 1693), (7, 1174, 429, 1509)]",434.5,258.0,215.16795765169124,222277.0,0.0
B100002801.jpg,2,"[(405, 1293, 682, 1453), (2, 1559, 422, 1693)]",348.5,147.0,329.04596943284383,100600.0,0.0
B100002884.jpg,1,"[(0, 1410, 518, 1699)]",518.0,289.0,0.0,149702.0,0.0
B100003200.jpg,1,"[(13, 1422, 445, 1681)]",432.0,259.0,0.0,111888.0,0.0
B100003483.jpg,1,"[(3, 1375, 411, 1692)]",408.0,317.0,0.0,129336.0,0.0
B100005500.jpg,1,"[(1, 1437, 474, 1699)]",473.0,262.0,0.0,123926.0,0.0
B100005618.jpg,1,"[(1, 1267, 616, 1675)]",615.0,408.0,0.0,250920.0,0.0
B100007999.jpg,1,"[(9, 2147, 608, 2445)]",599.0,298.0,0.0,178502.0,0.0
B100008325.jpg,1,"[(15, 1980, 679, 2428)]",664.0,448.0,0.0,297472.0,0.0
B100008830.jpg,1,"[(62, 2029, 642, 2392)]",580.0,363.0,0.0,210540.0,0.0
B100010571.jpg,1,"[(33, 1799, 521, 2437)]",488.0,638.0,0.0,311344.0,0.0
B100010881.jpg,1,"[(11, 1927, 881, 2459)]",870.0,532.0,0.0,462840.0,0.0
B100010886.jpg,1,"[(20, 1924, 897, 2453)]",877.0,529.0,0.0,463933.0,0.0
B100012080.jpg,1,"[(24, 1942, 601, 2436)]",577.0,494.0,0.0,285038.0,0.0
B100012130.jpg,1,"[(26, 1928, 590, 2430)]",564.0,502.0,0.0,283128.0,0.0
B100012133.jpg,1,"[(25, 1876, 710, 2428)]",685.0,552.0,0.0,378120.0,0.0
B100013001.jpg,1,"[(16, 1943, 566, 2439)]",550.0,496.0,0.0,272800.0,0.0
B100013019.jpg,1,"[(11, 1850, 639, 2448)]",628.0,598.0,0.0,375544.0,0.0
B100013077.jpg,1,"[(13, 2051, 611, 2442)]",598.0,391.0,0.0,233818.0,0.0
B100013079.jpg,1,"[(11, 1797, 577, 2444)]",566.0,647.0,0.0,366202.0,0.0
B100013113.jpg,1,"[(18, 1903, 589, 2417)]",571.0,514.0,0.0,293494.0,0.0
B100013143.jpg,2,"[(12, 2054, 612, 2437), (13, 1637, 535, 2057)]",561.0,401.5,304.07862881169405,449040.0,0.0
B100013533.jpg,1,"[(25, 2017, 666, 2437)]",641.0,420.0,0.0,269220.0,0.0
B100013541.jpg,1,"[(10, 1727, 615, 2446)]",605.0,719.0,0.0,434995.0,0.0
B100013542.jpg,1,"[(7, 1858, 629, 2454)]",622.0,596.0,0.0,370712.0,0.0
B100013596.jpg,1,"[(15, 1943, 666, 2444)]",651.0,501.0,0.0,326151.0,0.0
B100015025.jpg,1,"[(24, 1827, 600, 2452)]",576.0,625.0,0.0,360000.0,0.0
B100020286.jpg,1,"[(11, 1901, 619, 2446)]",608.0,545.0,0.0,331360.0,0.0
B100023819.jpg,1,"[(9, 1401, 421, 1685)]",412.0,284.0,0.0,117008.0,0.0
B100025085.jpg,1,"[(16, 1978, 649, 2448)]",633.0,470.0,0.0,297510.0,0.0
B100025104.jpg,1,"[(12, 1993, 670, 2446)]",658.0,453.0,0.0,298074.0,0.0
B100027055.jpg,1,"[(15, 2013, 609, 2444)]",594.0,431.0,0.0,256014.0,0.0
B100029096.jpg,1,"[(23, 2041, 619, 2446)]",596.0,405.0,0.0,241380.0,0.0
B100029925.jpg,1,"[(13, 1610, 617, 2446)]",604.0,836.0,0.0,504944.0,0.0
B100030148.jpg,1,"[(9, 1269, 586, 1690)]",577.0,421.0,0.0,242917.0,0.0
B100030420.jpg,1,"[(22, 1081, 389, 1693)]",367.0,612.0,0.0,224604.0,0.0
B100030508.jpg,1,"[(15, 1351, 501, 1693)]",486.0,342.0,0.0,166212.0,0.0
B100043258.jpg,1,"[(18, 2009, 600, 2455)]",582.0,446.0,0.0,259572.0,0.0
B100043259.jpg,1,"[(28, 1946, 627, 2450)]",599.0,504.0,0.0,301896.0,0.0
B100046494.jpg,1,"[(11, 1938, 630, 2451)]",619.0,513.0,0.0,317547.0,0.0
B100046516.jpg,1,"[(10, 2063, 559, 2459)]",549.0,396.0,0.0,217404.0,0.0
B100046524.jpg,1,"[(10, 1971, 723, 2451)]",713.0,480.0,0.0,342240.0,0.0
B100046535.jpg,1,"[(15, 1957, 730, 2457)]",715.0,500.0,0.0,357500.0,0.0
B100046795.jpg,1,"[(11, 1839, 573, 2450)]",562.0,611.0,0.0,343382.0,0.0
B100046958.jpg,1,"[(12, 1847, 553, 2452)]",541.0,605.0,0.0,327305.0,0.0
B100047225.jpg,1,"[(12, 1498, 616, 2453)]",604.0,955.0,0.0,576820.0,0.0
B100047902.jpg,1,"[(16, 2038, 680, 2441)]",664.0,403.0,0.0,267592.0,0.0
B100048005.jpg,1,"[(19, 1831, 565, 2439)]",546.0,608.0,0.0,331968.0,0.0
B100048052.jpg,1,"[(15, 1807, 584, 2438)]",569.0,631.0,0.0,359039.0,0.0
B100048267.jpg,1,"[(10, 1981, 592, 2449)]",582.0,468.0,0.0,272376.0,0.0
B100048981.jpg,1,"[(0, 1502, 598, 1692)]",598.0,190.0,0.0,113620.0,0.0
B100049843.jpg,1,"[(7, 2027, 614, 2453)]",607.0,426.0,0.0,258582.0,0.0
B100050741.jpg,1,"[(17, 1643, 615, 2444)]",598.0,801.0,0.0,478998.0,0.0
B100051118.jpg,1,"[(11, 1822, 621, 2457)]",610.0,635.0,0.0,387350.0,0.0
B100051145.jpg,1,"[(12, 1950, 709, 2450)]",697.0,500.0,0.0,348500.0,0.0
B100051153.jpg,1,"[(13, 2049, 673, 2455)]",660.0,406.0,0.0,267960.0,0.0
B100051859.jpg,1,"[(10, 2027, 618, 2453)]",608.0,426.0,0.0,259008.0,0.0
B100054944.jpg,1,"[(12, 1270, 560, 1665)]",548.0,395.0,0.0,216460.0,0.0
B100055545.jpg,1,"[(9, 1359, 430, 1693)]",421.0,334.0,0.0,140614.0,0.0
B100058346.jpg,1,"[(43, 2206, 623, 2647)]",580.0,441.0,0.0,255780.0,0.0
B100058356.jpg,1,"[(5, 1393, 426, 1699)]",421.0,306.0,0.0,128826.0,0.0
B100066610.jpg,1,"[(19, 1309, 422, 1681)]",403.0,372.0,0.0,149916.0,0.0
B100067590.jpg,1,"[(11, 2022, 642, 2442)]",631.0,420.0,0.0,265020.0,0.0
B100070040.jpg,1,"[(0, 1270, 609, 1698)]",609.0,428.0,0.0,260652.0,0.0
B100086436.jpg,1,"[(5, 1416, 465, 1693)]",460.0,277.0,0.0,127420.0,0.0
B100086706.jpg,1,"[(21, 1281, 408, 1700)]",387.0,419.0,0.0,162153.0,0.0
B100088818.jpg,1,"[(7, 2030, 605, 2453)]",598.0,423.0,0.0,252954.0,0.0
B100089444.jpg,1,"[(4, 1350, 422, 1697)]",418.0,347.0,0.0,145046.0,0.0
B100089768.jpg,1,"[(0, 1511, 453, 1698)]",453.0,187.0,0.0,84711.0,0.0
B100094275.jpg,2,"[(10, 1475, 340, 1698), (361, 1229, 730, 1654)]",349.5,324.0,304.11346566701053,230415.0,0.0
B100096136.jpg,1,"[(5, 2192, 673, 2686)]",668.0,494.0,0.0,329992.0,0.0
B100097716.jpg,1,"[(21, 1992, 621, 2448)]",600.0,456.0,0.0,273600.0,0.0
B100097847.jpg,1,"[(8, 2171, 682, 2706)]",674.0,535.0,0.0,360590.0,0.0
B100097875.jpg,1,"[(11, 2174, 682, 2701)]",671.0,527.0,0.0,353617.0,0.0
B100097892.jpg,1,"[(11, 2181, 682, 2702)]",671.0,521.0,0.0,349591.0,0.0
B100097905.jpg,1,"[(8, 2161, 675, 2685)]",667.0,524.0,0.0,349508.0,0.0
B100097906.jpg,1,"[(12, 2174, 671, 2685)]",659.0,511.0,0.0,336749.0,0.0
B100103718.jpg,1,"[(7, 1376, 423, 1698)]",416.0,322.0,0.0,133952.0,0.0
B100104150.jpg,1,"[(5, 1373, 423, 1699)]",418.0,326.0,0.0,136268.0,0.0
B100106420.jpg,1,"[(5, 1366, 428, 1694)]",423.0,328.0,0.0,138744.0,0.0
B100106454.jpg,1,"[(7, 1377, 429, 1699)]",422.0,322.0,0.0,135884.0,0.0
B100106489.jpg,1,"[(6, 1383, 429, 1699)]",423.0,316.0,0.0,133668.0,0.0
B100106500.jpg,1,"[(5, 1385, 424, 1699)]",419.0,314.0,0.0,131566.0,0.0
B100111628.jpg,1,"[(22, 1914, 760, 2434)]",738.0,520.0,0.0,383760.0,0.0
B100111644.jpg,1,"[(18, 1907, 759, 2435)]",741.0,528.0,0.0,391248.0,0.0
B100111666.jpg,1,"[(29, 1879, 777, 2415)]",748.0,536.0,0.0,400928.0,0.0
B100111720.jpg,1,"[(22, 1982, 745, 2434)]",723.0,452.0,0.0,326796.0,0.0
B100111978.jpg,1,"[(27, 1906, 766, 2431)]",739.0,525.0,0.0,387975.0,0.0
B100112425.jpg,1,"[(6, 2031, 609, 2457)]",603.0,426.0,0.0,256878.0,0.0
B100113983.jpg,1,"[(14, 1289, 592, 1699)]",578.0,410.0,0.0,236980.0,0.0
B100115692.jpg,1,"[(10, 1376, 428, 1697)]",418.0,321.0,0.0,134178.0,0.0
B100115709.jpg,1,"[(8, 1380, 423, 1698)]",415.0,318.0,0.0,131970.0,0.0
B100121075.jpg,1,"[(21, 1522, 693, 2447)]",672.0,925.0,0.0,621600.0,0.0
B100127165.jpg,1,"[(15, 1238, 467, 1675)]",452.0,437.0,0.0,197524.0,0.0
B100128119.jpg,1,"[(24, 1899, 763, 2435)]",739.0,536.0,0.0,396104.0,0.0
B100128447.jpg,1,"[(22, 1893, 761, 2432)]",739.0,539.0,0.0,398321.0,0.0
B100128558.jpg,1,"[(25, 1911, 764, 2445)]",739.0,534.0,0.0,394626.0,0.0
B100128559.jpg,1,"[(22, 1924, 760, 2450)]",738.0,526.0,0.0,388188.0,0.0
B100128845.jpg,1,"[(20, 1896, 764, 2433)]",744.0,537.0,0.0,399528.0,0.0
B100132615.jpg,1,"[(17, 1285, 566, 1682)]",549.0,397.0,0.0,217953.0,0.0
B100134649.jpg,1,"[(7, 1427, 422, 1698)]",415.0,271.0,0.0,112465.0,0.0
B100134724.jpg,1,"[(10, 1417, 431, 1692)]",421.0,275.0,0.0,115775.0,0.0
B100134772.jpg,1,"[(7, 1422, 425, 1697)]",418.0,275.0,0.0,114950.0,0.0
B100137541.jpg,1,"[(7, 2105, 728, 2449)]",721.0,344.0,0.0,248024.0,0.0
B100138363.jpg,1,"[(9, 2033, 717, 2458)]",708.0,425.0,0.0,300900.0,0.0
B100142197.jpg,1,"[(5, 1913, 618, 2461)]",613.0,548.0,0.0,335924.0,0.0
B100142204.jpg,1,"[(5, 1938, 619, 2456)]",614.0,518.0,0.0,318052.0,0.0
B100143891.jpg,1,"[(5, 1422, 416, 1694)]",411.0,272.0,0.0,111792.0,0.0
B100144040.jpg,1,"[(4, 1417, 417, 1696)]",413.0,279.0,0.0,115227.0,0.0
B100151188.jpg,1,"[(22, 1391, 463, 1678)]",441.0,287.0,0.0,126567.0,0.0
B100152667.jpg,1,"[(10, 1437, 421, 1698)]",411.0,261.0,0.0,107271.0,0.0
B100152703.jpg,1,"[(9, 1417, 421, 1696)]",412.0,279.0,0.0,114948.0,0.0
B100152707.jpg,1,"[(8, 1421, 422, 1696)]",414.0,275.0,0.0,113850.0,0.0
B100152752.jpg,1,"[(7, 1423, 418, 1688)]",411.0,265.0,0.0,108915.0,0.0
B100155286.jpg,1,"[(7, 1418, 424, 1693)]",417.0,275.0,0.0,114675.0,0.0
B100155287.jpg,1,"[(7, 1417, 423, 1687)]",416.0,270.0,0.0,112320.0,0.0
B100156394.jpg,1,"[(8, 1442, 425, 1697)]",417.0,255.0,0.0,106335.0,0.0
B100156403.jpg,1,"[(10, 1422, 426, 1695)]",416.0,273.0,0.0,113568.0,0.0
B100156425.jpg,1,"[(11, 1434, 423, 1698)]",412.0,264.0,0.0,108768.0,0.0
B100156433.jpg,1,"[(10, 1428, 429, 1697)]",419.0,269.0,0.0,112711.0,0.0
B100156464.jpg,1,"[(5, 1428, 421, 1699)]",416.0,271.0,0.0,112736.0,0.0
B100156469.jpg,1,"[(9, 1428, 430, 1696)]",421.0,268.0,0.0,112828.0,0.0
B100156493.jpg,1,"[(8, 1428, 422, 1697)]",414.0,269.0,0.0,111366.0,0.0
B100156506.jpg,1,"[(14, 1425, 429, 1698)]",415.0,273.0,0.0,113295.0,0.0
B100157339.jpg,1,"[(1, 1382, 506, 1689)]",505.0,307.0,0.0,155035.0,0.0
B100158719.jpg,1,"[(9, 1306, 600, 1692)]",591.0,386.0,0.0,228126.0,0.0
B100161257.jpg,1,"[(3, 1267, 553, 1695)]",550.0,428.0,0.0,235400.0,0.0
